title,url
Birgi 'sürdürülebilir turizm destinasyonu' olma yolunda,https://www.trthaber.comhttps://www.trthaber.com/haber/yasam/birgi-surdurulebilir-turizm-destinasyonu-olma-yolunda-871521.html
Anadolu'nun kültür mirasına yoğun ilgi,https://www.trthaber.comhttps://www.trthaber.com/haber/kultur-sanat/anadolunun-kultur-mirasina-yogun-ilgi-872179.html
Anadolu'nun yazıyla tanıştığı yer: Kültepe,https://www.trthaber.comhttps://www.trthaber.com/haber/kultur-sanat/anadolunun-yaziyla-tanistigi-yer-kultepe-871932.html
Kırgız kadınlarının geçmişten gelen mirası: Eleçek,https://www.trthaber.comhttps://www.trthaber.com/haber/kultur-sanat/kirgiz-kadinlarinin-gecmisten-gelen-mirasi-elecek-871972.html
İsrail soykırımına sanat tepkisi: Zafer Bizimdir,https://www.trthaber.comhttps://www.trthaber.com/haber/kultur-sanat/israil-soykirimina-sanat-tepkisi-zafer-bizimdir-871785.html
Kahramanmaraş'ta 14 bin 500 yıllık olduğu değerlendirilen mezar bulundu,https://www.trthaber.comhttps://www.trthaber.com/haber/kultur-sanat/kahramanmarasta-14-bin-500-yillik-oldugu-degerlendirilen-mezar-bulundu-871451.html
Yapay zekayla uyku apnesini önlüyor,https://www.trthaber.comhttps://www.trthaber.com/haber/saglik/yapay-zekayla-uyku-apnesini-onleyen-yeni-bir-cihaz-tasarlandi-871624.html
Sağlık Bakanlığı'ndan aşırı sıcaklara karşı uyarı,https://www.trthaber.comhttps://www.trthaber.com/haber/saglik/saglik-bakanligindan-asiri-sicaklara-karsi-uyari-871572.html
Sahte güneş gözlükleri göz sağlığını tehdit ediyor,https://www.trthaber.comhttps://www.trthaber.com/haber/saglik/sahte-gunes-gozlukleri-goz-sagligini-tehdit-ediyor-871439.html
Pika sendromu neyi işaret ediyor?,https://www.trthaber.comhttps://www.trthaber.com/haber/saglik/pika-sendromu-neyi-isaret-ediyor-871327.html
Ambulanslara yol açan 'fermuar sistemi' yaşama tutunma şansını artırıyor,https://www.trthaber.comhttps://www.trthaber.com/haber/saglik/ambulanslara-yol-acan-fermuar-sistemi-yasama-tutunma-sansini-artiriyor-870745.html
"YÖK'ten üniversitelere ""sahte diploma"" uyarısı",https://www.trthaber.comhttps://www.trthaber.com/haber/egitim/yokten-universitelere-sahte-diploma-uyarisi-871850.html
LGS 2. nakil tercih sonuçları açıklandı,https://www.trthaber.comhttps://www.trthaber.com/haber/egitim/lgs-2-nakil-tercih-sonuclari-aciklandi-871627.html
